index,date,Wage_Date,MIP_sector_id,MIP_sector_name,Count_Workers,year,month,Count_Workers_sa,Count_Workers_trend,Count_Workers_sa_cycle
0,2008-01-01,2008-01-01,1,"Agriculture, forestry and fishing",29051,2008,1,25820.529360702614,,-3119.5856290244446
1,2008-02-01,2008-02-01,1,"Agriculture, forestry and fishing",29321,2008,2,26851.617902369282,,-2185.6820424707403
2,2008-03-01,2008-03-01,1,"Agriculture, forestry and fishing",29806,2008,3,27350.34446486928,,-1784.1163642069332
3,2008-04-01,2008-04-01,1,"Agriculture, forestry and fishing",27000,2008,4,26720.123110702614,,-2511.4335960256685
4,2008-05-01,2008-05-01,1,"Agriculture, forestry and fishing",23608,2008,5,26433.433006535946,,-2895.099869222955
5,2008-06-01,2008-06-01,1,"Agriculture, forestry and fishing",23850,2008,6,26609.44081903595,,-2815.8744367491418
6,2008-07-01,2008-07-01,1,"Agriculture, forestry and fishing",29101,2008,7,30935.90512663399,29242.333333333336,1414.097698943664
7,2008-08-01,2008-08-01,1,"Agriculture, forestry and fishing",28550,2008,8,30734.206597222223,29671.625,1116.3153522903522
8,2008-09-01,2008-09-01,1,"Agriculture, forestry and fishing",27653,2008,9,30834.98600898693,30035.583333333332,1121.5265367722495
9,2008-10-01,2008-10-01,1,"Agriculture, forestry and fishing",30992,2008,10,32204.427798202614,30300.166666666668,2396.014310414532
10,2008-11-01,2008-11-01,1,"Agriculture, forestry and fishing",33774,2008,11,32435.508527369282,30533.958333333336,2532.845203713736
11,2008-12-01,2008-12-01,1,"Agriculture, forestry and fishing",35550,2008,12,31325.477277369282,30795.208333333332,1329.339777784011
12,2009-01-01,2009-01-01,1,"Agriculture, forestry and fishing",34355,2009,1,31124.529360702614,30914.249999999996,1035.745281798485
13,2009-02-01,2009-02-01,1,"Agriculture, forestry and fishing",34320,2009,2,31850.617902369282,30881.041666666664,1670.0565201789032
14,2009-03-01,2009-03-01,1,"Agriculture, forestry and fishing",33542,2009,3,31086.34446486928,30865.416666666664,814.9087429852625
15,2009-04-01,2009-04-01,1,"Agriculture, forestry and fishing",29614,2009,4,29334.123110702614,30803.708333333336,-1027.2631859610046
16,2009-05-01,2009-05-01,1,"Agriculture, forestry and fishing",26605,2009,5,29430.433006535946,30696.458333333332,-1019.9655865479253
17,2009-06-01,2009-06-01,1,"Agriculture, forestry and fishing",27123,2009,6,29882.44081903595,30641.041666666668,-656.0093522500283
18,2009-07-01,2009-07-01,1,"Agriculture, forestry and fishing",28685,2009,7,30519.90512663399,30613.125000000004,-105.60559467232088
19,2009-08-01,2009-08-01,1,"Agriculture, forestry and fishing",28169,2009,8,30353.206597222223,30545.666666666664,-358.33827415845735
20,2009-09-01,2009-09-01,1,"Agriculture, forestry and fishing",27659,2009,9,30840.98600898693,30499.166666666668,44.46957410000323
21,2009-10-01,2009-10-01,1,"Agriculture, forestry and fishing",29505,2009,10,30717.427798202614,30581.958333333332,-162.95866204444974
22,2009-11-01,2009-11-01,1,"Agriculture, forestry and fishing",32687,2009,11,31348.508527369282,30740.374999999996,385.3921883567382
